name,website,region,town,holes,clubId,in_seed
Kelso Golf Club,http://www.kelsogolfclub.co.uk/,Scottish Borders,Kelso,18,2346,
Kenmore Golf Club,https://www.taymouth.co.uk,Perth & Kinross,Kenmore,18,2348,
Kidsneuk Ladies Golf Club,https://kidsneukladies.cw.sct.dotgolf.co.uk/,North Ayrshire,North Ayshire,18,2350,
Kilbirnie Place Golf Club,https://www.kilbirnieplacegc.co.uk/,North Ayrshire,Kilbirnie,18,2351,
Kilbowie Golf Club,https://dgu.org.uk/clydeview-gc/,West Dunbartonshire,Clydebank,18,2352,
Killin Golf Club,https://www.killingolfclub.co.uk/,Stirling,Killin,9,2353,
Kilmacolm Golf Club,http://www.kilmacolmgolfclub.com,Inverclyde,Kilmacolm,18,2354,
Kilmarnock (Barassie) Golf Club,https://www.kbgc.co.uk/,South Ayrshire,Troon,18,2355,
Kilspindie Golf Club,https://www.kilspindiegolfclub.co.uk/,East Lothian,Longniddry,18,2356,
Kilsyth Lennox Golf Club,https://www.kilsythlennox.com/,North Lanarkshire,Glasgow,18,2357,
King James VI Golf Club,https://www.kingjamesvi.co.uk/,Perth & Kinross,Perth,18,2358,
Kingennie Golf Club,https://www.forbesofkingennie.co.uk/golf/kingennie-golf-course/,Angus,Dundee,9,2359,
Kinghorn Golf Club,https://www.kinghorngolfclub.com/,Fife,Burntisland,18,2360,
Kings Acre Golf Club,https://www.kings-acregolf.com/,Midlothian,Lasswade,18,2362,
Kings Golf Club,https://www.kingsgolfclubinverness.co.uk/,Highland,Inverness,18,2363,
Kingsbarns Golf Links Golf Club,https://www.kingsbarns.com,Edinburgh,,18,2011,
Kingsfield Golf Club,https://kingsfieldgolfandleisure.co.uk/,West Lothian,Linlithgow,9,2365,
Kingsknowe Golf Club,http://www.kingsknowe.com,Edinburgh,Edinburgh,18,2367,
Kingussie Golf Club,https://kingussiegolfclub.co.uk/,Highland,Kingussie,18,2368,
Kinross Golf Club,http://www.kinrossgolfclub.co.uk/,Perth & Kinross,Kinross,18,2370,
Kintore Golf Club,https://www.kintoregolfclub.net/,Aberdeenshire,Inverurie,18,2371,
Kirkcaldy Golf Club,https://kirkcaldygolfclub.co.uk/,Fife,Kirkcaldy,18,2372,
Kirkcudbright Golf Club,https://www.kirkcudbrightgolf.co.uk/,Dumfries & Galloway,Kirkcudbright,18,2373,
Kirkhill Golf Club,http://www.kirkhillgolfclub.org.uk/,South Lanarkshire,Glasgow,18,2374,
Kirkintilloch Golf Club,https://www.kirkintillochgolfclub.co.uk,East Dunbartonshire,Glasgow,18,2375,
Kirriemuir Golf Club,https://www.kirriemuirgolfclub.co.uk/,Angus,Kirriemuir,18,2376,
Knightswood Golf Club,https://www.glasgowlife.org.uk/sport/venues/knightswood-golf-course,Glasgow,Glasgow,18,2377,
Kotarana (Test) Golf Club,https://www.scottishgolf.org,Edinburgh,Viking Way,9,2705,
Kyles of Bute Golf Club,https://www.kylesofbutegolfclub.co.uk/,Argyll & Bute,Tighnabruaich,18,2378,
Ladies Golf Club Troon,https://tlgct.org.uk/,South Ayrshire,Troon,18,2379,
"Ladies Panmure Golf Club, Monifieth",https://ladiespanmuregolf.co.uk/club/,Angus,Dundee,18,2380,
Ladybank Golf Club,https://ladybankgolf.co.uk/,Fife,Cupar,18,2381,
Lamlash Golf Club,https://lamlashgolfclub.com/,North Ayrshire,Isle of Arran,18,2382,
Lanark Golf Club,https://www.lanarkgolfclub.co.uk/,South Lanarkshire,Lanark,18,2383,
Lanarkshire Golf Association,http://lanarkshiregolf.com/,South Lanarkshire,,18,2384,
Langholm Golf Club,https://www.langholmgolfclub.co.uk/,Dumfries & Galloway,Langholm,18,2386,
Langlands Golf Club,http://www.langlandsgolfclub.co.uk/,South Lanarkshire,East Kilbride,18,2387,
Largs Golf Club,https://www.largsgolfclub.co.uk/,North Ayrshire,Largs,18,2388,
Larkhall Golf Club,https://www.slleisureandculture.co.uk/info/243/larkhall_golf_course,South Lanarkshire,Larkhall,18,2389,
Lauder Golf Club,http://lauder.golf-club.website,Scottish Borders,Lauder,18,2390,
Lenzie Golf Club,https://www.lenziegolfclub.co.uk/,East Dunbartonshire,Glasgow,18,2392,
Leslie Golf Club,https://www.lesliegolfclub.co.uk/,Fife,Glenrothes,18,2393,
Leuchars Station Golf Club,https://www.armygolf.co.uk/locations/leuchars-station/,Fife,St Andrews,18,2395,
Leven Golfing Society ,http://www.levengolfingsociety.co.uk/,Fife,Fife,18,2396,
Leven Thistle Golf Club,https://www.leventhistlegc.co.uk/,Fife,,18,2397,
Liberton Golf Club,https://libertongc.co.uk/,Edinburgh,Edinburgh,18,2398,
Lilliardsedge Golf Club,https://wigtownshirecounty.com/,Scottish Borders,Jedburgh,18,2399,
Linlithgow Golf Club,https://linlithgowgolf.co.uk/,West Lothian,Linlithgow,18,2400,
Loch Lomond Golf Club,https://www.lochlomond.com/,Argyll & Bute,Alexandria,18,2403,
Lochcarron Golf Club,https://lochcarrongolfclub.co.uk/,Highland,Strathcarron,18,2404,
Lochend Golf Club,https://lochendgolfclub.co.uk/,Edinburgh,Edinburgh,18,2405,
Lochgilphead Golf Club,https://www.lochgilpheadgolfclub.co.uk/,Argyll & Bute,Lochgilphead,18,2407,
Lochgoilhead Golf Club,https://lochgoilhead.info/golf-club/,Argyll & Bute,Cairndow,18,2408,
Lochmaben Golf Club,https://www.lochmabengolf.co.uk/,Dumfries & Galloway,Dumfriesshire,18,2409,
Lochore Meadows Golf Club,https://fifegolftrust.co.uk/lochore-meadows-golf-course/,Fife,Lochgelly,18,2410,
Lochwinnoch Golf Club,https://www.lochwinnochgolf.co.uk/,Renfrewshire,Lochwinnoch,18,2412,
Lockerbie Golf Club,http://www.lockerbiegolf.co.uk/,Dumfries & Galloway,Lockerbie,18,2413,
Longniddry Golf Club,https://www.longniddrygolfclub.co.uk/,East Lothian,Longniddry,18,2416,
Longside Golf Club,http://www.longsidegolfclub.co.uk/,Aberdeenshire,Aberdeenshire,18,2417,
Loudoun Gowf Club,http://www.loudoungowfclub.co.uk/,East Ayrshire,Galston,18,2420,
Luffness New Golf Club,https://www.luffnessnew.com/,East Lothian,East Lothian,18,2421,
Lumphanan Golf Club,https://lumphanangolfclub.co.uk/,Aberdeenshire,Banchory,9,2422,
Lundin Golf Club,https://www.lundingolfclub.co.uk/,Fife,Leven,18,2424,
Lundin Ladies Golf Club,https://lundinladiesgolfclub.co.uk/,Fife,Leven,9,2425,
Lybster Golf Club,https://lybstergolfclub.co.uk/,Highland,Lybster,18,2427,
Machrie Bay Golf Club,https://machriebay.com/,North Ayrshire,Isle of Arran,18,2428,
Machrihanish Dunes Golf Club,https://machrihanishdunes.com/,Argyll & Bute,Argyll,18,2429,
Machrihanish Golf Club,https://www.machgolf.com/,Argyll & Bute,Argyll,18,2430,
Malletsheugh Golf Club,https://malletsheughgolfclub.wixsite.com/est1976,Glasgow,Troon,18,2431,
Mar Hall Golf and Spa Resort Golf Club,https://www.marhall.com/golf-course.html,East Renfrewshire,Bishopton,18,2220,
Marine Golf Club,https://marinegolfclub.webs.com/,Aberdeen City,Aberdeen,18,2432,
Maverston Golf Club,https://www.maverstongolf.com/,Moray,IV30 8LR,18,2433,
Maybole Golf Club,https://www.maybolegolf.com/,South Ayrshire,Maybole,18,2434,
McDonald Golf Club,https://www.ellongolfclub.co.uk/,Aberdeenshire,Ellon,18,2435,
Mearns Castle Golf Club,https://mcgolfacademy.co.uk/,East Renfrewshire,Glasgow,18,2436,
Meldrum House Golf Club,https://www.meldrumhouse.com/,Aberdeenshire,Inverurie,18,2437,
Melrose Golf Club,https://melrosegolfclub.co.uk/,Scottish Borders,Melrose,18,2438,
Melville Golf Club,https://melvillegolf.com/,Midlothian,Lasswade,18,2439,
Merchants of Edinburgh Golf Club,https://www.merchantsgolf.com/,Edinburgh,Edinburgh,18,2440,
Midlothian County Ladies Golf Association,https://www.mclga.com,Midlothian,,18,2443,
Millport Golf Club,https://www.millportgolfclub.co.uk/,North Ayrshire,Isle of Cumbrae,18,2444,
Milnathort Golf Club Ltd,https://www.milnathortgolfclub.co.uk,Perth & Kinross,Milnathort,9,2445,
Milngavie Golf Club,http://www.milngaviegolfclub.com,East Dunbartonshire,Glasgow,18,2446,
Minto Golf Club,https://www.mintogolf.co.uk/,Scottish Borders,Hawick,18,2447,
Moffat Golf Club,https://www.moffatgolfclub.co.uk/,Dumfries & Galloway,Moffat,18,2448,
Monifieth Golf Club,https://monifiethgolf.co.uk/,Angus,Dundee,18,2449,
Monifieth Junior Golf Academy,https://monifiethjga.co.uk/,Angus,Monifieth,18,2450,
Montrose Golf Links,https://montrosegolflinks.com/,Angus,Montrose,18,2452,
Moorpark Golf Club,https://www.moorparkgc.co.uk/,North Ayrshire,Stevenston,18,2453,
Moray Golf Club,http://www.moraygolf.co.uk,Moray,Lossiemouth,18,2454,
Mortonhall Golf Club,https://www.mortonhallgc.co.uk/,Edinburgh,Edinburgh,18,2455,
Muckhart Golf Club,http://www.muckhartgolf.com,Clackmannanshire,Dollar,18,2457,
Muir Of Ord Golf Club,https://muirofordgolfclub.co.uk/,Highland,Muir of Ord,18,2458,
Muirfield,http://www.muirfield.org.uk,East Lothian,East Lothian,18,2714,
Muirkirk Golf Club,http://www.muirkirkgolfclub.com/,East Ayrshire,Cumnock,18,2459,
Murcar Links Golf Club,https://murcarlinks.com/,Aberdeen City,Aberdeen,18,2460,
Murrayfield Golf Club,https://www.murrayfieldgolfclub.co.uk/,Edinburgh,Edinburgh,18,2461,
Murrayshall Golf Club,http://www.murrayshall.co.uk,Perth & Kinross,Perth,18,2462,
Musselburgh Golf Club,https://www.themusselburghgolfclub.com/,East Lothian,Musselburgh,18,2463,
Musselburgh Links Ladies Golf Club,http://www.musselburghlinksladies.co.uk/,Midlothian,Musselburgh,18,2464,
Musselburgh Old Course Golf Club,http://www.musselburgholdlinks.co.uk/,East Lothian,Musselburgh,18,2465,
Muthill Golf Club,https://muthillgolfclub.co.uk/,Perth & Kinross,Crieff,18,2466,
Nairn Dunbar Golf Club,http://www.nairndunbar.com,Highland,Nairn,18,2467,
Nairn Golf Club,https://www.nairngolfclub.co.uk/,Highland,Nairn,18,2468,
New Galloway Golf Club,https://newgallowaygolfclub.com/,Dumfries & Galloway,Castle Douglas,18,2471,
New Golf Club St Andrews,https://www.newgolfclubstandrews.co.uk/,Fife,St Andrews,18,2472,
Newbattle Golf Club,http://www.newbattlegolfclub.com/,Midlothian,Dalkeith,18,2473,
Newburgh-On-Ythan Golf Club,https://newburghgolfclub.co.uk/,Aberdeenshire,Ellon,18,2474,
Newmachar Golf Club,http://www.newmachargolfclub.co.uk,Aberdeenshire,Aberdeen,18,2476,
Newton Stewart Golf Club,https://www.newtonstewartgolfclub.co.uk/,Dumfries & Galloway,Newton Stewart,18,2477,
Newtonmore Golf Club,https://www.newtonmoregolf.com/,Highland,Newtonmore,18,2478,
Niddry Castle Golf Club,https://www.niddrycastlegolfclub.co.uk/,West Lothian,West Lothian,18,2480,
Nigg Bay Golf Club,https://www.niggbaygolfclub.co.uk/,Aberdeen City,Aberdeen,18,2481,
North Berwick Golf Club,https://www.northberwickgolfclub.com/,East Lothian,North Berwick,18,2483,yes
North East of Scotland Golfers Alliance,https://www.negolfalliance.co.uk/,Edinburgh,Straik Road,18,2486,
North Inch Junior Golf Club,https://www.northinchgolf.co.uk/junior-club,Perth & Kinross,Perth,18,2488,
Old Course Ranfurly Golf Club,http://www.oldranfurly.com,Renfrewshire,Bridge of Weir,18,2492,
Oldmeldrum Golf Club,https://www.oldmeldrumgolf.co.uk/,Aberdeenshire,Inverurie,18,2493,
Orkney Golf Club,https://orkneygolfclub.co.uk/,Orkney,Orkney,18,2494,
Palacerigg Golf Club,http://www.palacerigggolfclub.co.uk/,North Lanarkshire,Glasgow,18,2496,
Panmure Golf Club,http://www.panmuregolfclub.co.uk,Angus,Carnoustie,18,2497,
Paul Lawrie Golf Centre,https://www.paullawriegolfcentre.co.uk/,Aberdeenshire,Aberdeen,9,2499,
Pecten Golf Club,https://pectengolf.co.uk/,Aberdeenshire,,18,2500,
Peebles Golf Club,https://www.peeblesgolfclub.com/,Scottish Borders,Peebles,18,2501,
Perth Artisans Golf Club,https://perthartisan.golf-club.website,Perth & Kinross,Perth,18,2505,
Perth Ladies Golf Club,https://www.perthladiesgolfclub.co.uk/,Perth & Kinross,Perth,18,2506,
Peterculter Golf Club,https://www.petercultergolfclub.co.uk/,Aberdeen City,Aberdeen,18,2508,
Peterhead Golf Club,https://www.peterheadgolfclub.co.uk/,Aberdeenshire,Peterhead,18,2509,
Piperdam Golf Club,https://www.piperdam.com/golf/golf-in-scotland/,Angus,Dundee,18,2510,
Pitlochry Golf Club,https://www.pitlochrygolf.co.uk/,Perth & Kinross,Pitlochry,18,2511,
Pitreavie (Dunfermline) Golf Club,https://www.pitreaviegolfclub.co.uk/,Fife,Dunfermline,18,2512,
Playsport Golf Club,https://playsportgolf.co.uk/,South Lanarkshire,Glasgow,18,2513,
Polkemmet Golf Club,https://www.westlothianleisure.com/venues/outdoors/polkemmet-golf-and-driving-range/,West Lothian,Bathgate,18,2514,
Pollok Golf Club,https://www.pollokgolf.com/,Glasgow,Glasgow,18,2515,
Port Bannatyne Golf Club,https://portbannatynegolfclub.co.uk/,Argyll & Bute,Isle of Bute,18,2517,
Port Glasgow Golf Club,https://www.portglasgowgolfclub.co.uk/,Inverclyde,Port Glasgow,18,2518,
Portlethen Golf Club,http://www.portlethengolfclub.com/,Aberdeenshire,Aberdeen,18,2520,
Portmahomack (Tarbat) Golf Club,https://portmahomackgolfclub.com/,Highland,Tain,18,2521,
Portobello Golf Club,https://www.edinburghleisure.co.uk/venues/portobello-golf-course,Edinburgh,Edinburgh,18,2523,
Portpatrick Dunskey Golf Club,https://www.portpatrickgolfclub.com/,Dumfries & Galloway,Stranraer,18,2524,
Powfoot Golf Club,http://www.powfootgolfclub.com,Dumfries & Galloway,Annan,18,2525,
Prestonfield Golf Club Limited,https://www.prestonfieldgolf.co.uk/,Edinburgh,Edinburgh,18,2526,
Prestwick Centre Golf Club,http://www.pcgolf.club,North Ayrshire,Prestwick,18,2527,
Prestwick Golf Club,https://www.prestwickgc.co.uk/,South Ayrshire,Prestwick,18,2528,
Prestwick St Cuthbert Golf Club,https://www.stcuthbert.co.uk/,South Ayrshire,Prestwick,18,2529,
Prestwick St Nicholas Golf Club,https://www.prestwickstnicholas.com/,South Ayrshire,Prestwick,18,2530,
Pumpherston Golf Club,https://www.pumpherstongolfclub.co.uk/,West Lothian,West Lothian,18,2532,
Radnor Park Golf Club,https://radnorparkgolfclub.weebly.com/,West Dunbartonshire,Clydebank,18,2533,
Ralston Golf Club,http://www.ralstongolfclub.com,Renfrewshire,Paisley,18,2534,
Ranfurly Castle Golf Club,https://www.ranfurlycastlegolfclub.co.uk/,Renfrewshire,PA11 3HN,18,2535,
Ratho Park Golf Club,https://www.rathoparkgolfclub.co.uk/,Edinburgh,Newbridge,18,2536,
Ravelston Golf Club,http://www.ravelstongolfclub.co.uk/,Edinburgh,Edinburgh,18,2537,
Reay Golf Club,https://www.reaygolfclub.co.uk/,Highland,Thurso,18,2538,
Redburn Golf Club,https://www.redburngc.com,North Ayrshire,Dalry,18,2539,
Renaissance Golf Club,https://trcaa.com/,East Lothian,North Berwick,18,2541,
Renfrew Golf Club,http://www.renfrewgolfclub.net/,Renfrewshire,Renfrew,18,2542,
Renfrewshire Golf Union,https://www.renfrewshiregolfunion.co.uk/,Renfrewshire,,18,2543,
Rosehearty Golf Club,https://www.roseheartygolfclub.com/home,Aberdeenshire,"Aberdeenshire, Scotland",18,2547,
Rothes Golf Club,https://rothesgolfclub.co.uk/,Moray,AB38 7AN,18,2549,
Rothesay Golf Club,http://www.rothesaygolfclub.co.uk/,Argyll & Bute,Isle of Bute,18,2550,
Routenburn Golf Club,https://www.routenburngolfclub.co.uk/,North Ayrshire,Largs,18,2551,
Rowallan Castle Golf Club,https://rowallancastle.com/rowallan-championship-golf-course-ayrshire/,East Ayrshire,Ayrshire,18,2552,
Roxburghe Hotel & Golf Course,https://roxburghe-golf.com/en/home,Scottish Borders,TD5 8JZ,18,2553,
Royal Aberdeen Golf Club,http://www.royalaberdeengolf.com/,Aberdeen City,Aberdeen,18,2555,
Royal Burgess Golfing Society of Edinburgh,https://www.royalburgess.co.uk/,Edinburgh,Edinburgh,18,2557,
Royal Dornoch Golf Club,https://royaldornoch.com/,Highland,Dornoch,18,2558,
Royal Montrose Mercantile Golf Club,https://www.royalmontrosemercantilegolfclub.co.uk/,Angus,Montrose,18,2559,
Royal Musselburgh Golf Club,https://www.royalmusselburgh.co.uk/,East Lothian,Prestonpans,18,2560,
Royal Tarlair Golf Club,https://royaltarlair.co.uk/,Aberdeenshire,Macduff,18,2562,
Royal Troon Golf Club,https://www.royaltroon.co.uk,South Ayrshire,Troon,18,2563,
Saline Golf Club,https://salinegc.co.uk/,Fife,Saline,18,2564,
Sandyhills Golf Club,http://www.sandyhillsgolfclub.co.uk/,Glasgow,Glasgow,18,2566,
Sanquhar Golf Club,https://www.southofscotlandgolf.com/sanquhar-golf-club/,Dumfries & Galloway,Sanquhar,18,2567,
Scoonie Golf Club,https://scooniegolfclub.com/,Fife,Leven,18,2570,
Scotscraig Golf Club,http://www.scotscraiggolfingclub.com,Fife,Tayport,18,2572,
Scottish Seniors Golfing Society,http://www.scottishseniorsgolf.com,Edinburgh,Renfrewshire,18,2577,
Selkirk Golf Club,https://selkirkgolf.co.uk/,Scottish Borders,Selkirk,18,2589,
Shaws Bar Golf Club,https://shawsbargolf.club/,Glasgow,G46 7UZ,18,2590,
Shetland Golf Club,https://www.shetlandgolfclub.co.uk/,Shetland,Shetland,18,2591,
Shiskine Golf Club,https://www.shiskinegolf.com/,North Ayrshire,Isle of Arran,18,2592,
Shotts Golf Club,http://shottsgolfclub.co.uk/,North Lanarkshire,Shotts,18,2593,
Skelmorlie Golf Club,http://www.skelmorliegolf.co.uk/,North Ayrshire,Skelmorlie,18,2595,
South Ronaldsay Golf Club,https://southronaldsaygolf.com/,Orkney,Orkney,18,2598,
South of Scotland Golfers' Association,https://www.southofscotlandgolfers.com/,Dumfries & Galloway,,18,2597,
Southerness Golf Club,https://southernessgolfclub.com/,Dumfries & Galloway,Dumfries,18,2599,
Spean Bridge Golf Club,https://speangolf.co.uk/,Highland,PH34 4EF,18,2600,
Spey Bay Golf Club,http://www.speybay.co/,Moray,Fochabers,18,2601,
Spey Valley Golf Club,https://www.macdonaldhotels.co.uk/aviemore/see-and-do/activities/golfing,Highland,Aviemore,18,2602,
St Andrews Golf Club,https://thestandrewsgolfclub.co.uk/,Fife,St Andrews,18,2604,
St Andrews Links Trust,http://www.standrews.com,Fife,St Andrews,18,2605,
St Andrews Thistle Golf Club,https://standrewsthistle.com/,Fife,St Andrews,18,2606,
St Boswells Golf Club,https://stboswellsgolfclub.co.uk/,Scottish Borders,Melrose,9,2607,
St Fillans Golf Club,https://st-fillans-golf.com/,Perth & Kinross,St Fillans,9,2608,
St Leonards Golf Club,https://www.stleonards.golf/,Fife,St Andrews,18,2609,
St Medan Golf Club,https://stmedangolfclub.com/,Dumfries & Galloway,Newton Stewart,18,2610,
St Michaels Golf Club,https://stmichaelsgolfclub.com/,Fife,St. Andrews,18,2611,
St Mungo Golf Club,http://www.stmungogolfclub.com,North Ayrshire,Irvine,18,2612,
St Regulus Ladies Golf Club,https://www.st-regulus-lgc.co.uk/,Fife,St Andrews,18,2613,
St Rule Club,https://www.thestruleclub.co.uk/,Fife,St Andrews,18,2614,
Station Masters Golf Club,https://thestationmasters.com/,Angus,Carnoustie,18,2616,
Stephen Gallacher Foundation,https://www.sgfoundation.co.uk,Edinburgh,Edinburgh,18,2617,
Stewarton Golf Club,http://www.stewartongolfclub.co.uk,East Ayrshire,Kilmarnock,18,2618,
Stirling Golf Club,https://www.stirlinggolfclub.com/,Stirling,Stirling,18,2621,
Stonehaven Golf Club,http://stonehavengolfclub.com/,Aberdeenshire,Stonehaven,18,2623,
Stornoway Golf Club,http://www.stornowaygolfclub.co.uk/,Eilean Siar,Isle of Lewis,18,2624,
Stranraer Golf Club,https://www.stranraergolfclub.net/,Dumfries & Galloway,Stranraer,18,2625,
Strathallan School ,https://www.strathallan.co.uk,Perth & Kinross,Perth,9,2719,
Strathaven Golf Club,https://www.strathavengc.com/,South Lanarkshire,Strathaven,18,2626,
Strathendrick Golf Club,http://www.strathendrickgolfclub.co.uk/,Stirling,Drymen,18,2628,
Strathlene Buckie Golf Club,http://www.strathlenegolfclub.co.uk/,Moray,Buckie,18,2629,
Strathmore Golf Club,https://www.strathmoregolf.com/,Perth & Kinross,Blairgowrie,18,2630,
Strathpeffer Spa Golf Club,https://strathpefferspagolfclub.co.uk/,Highland,Strathpeffer,18,2631,
Strathtay Golf Club,https://www.strathtaygolfclub.com/,Perth & Kinross,Pitlochry,18,2632,
Stromness Golf Club,https://stromnessgc.co.uk/,Orkney,Orkney,18,2633,
Swanston Golf Club Ltd,https://swanstongolf.co.uk/,Edinburgh,Edinburgh,18,2634,
Tain Golf Club,https://www.tain-golfclub.co.uk/,Highland,Tain,18,2635,
Tantallon Golf Club,https://tantallongolfclub.co.uk/,East Lothian,North Berwick,18,2637,
Tarbert Golf Club,https://tarbertgolfclub.com/,Argyll & Bute,Argyll,18,2638,
Tarland Golf Club,https://www.tarlandgolfclub.co.uk/,Aberdeenshire,Aboyne,18,2639,
Taymouth Castle Golf Club,https://www.taymouthcastlegolfclub.com/,Perth & Kinross,Aberfeldy,18,2640,
Taynuilt Golf Club,https://taynuiltgolfclub.co.uk/,Argyll & Bute,Argyll,9,2641,
The Irvine Golf Club,https://www.theirvinegolfclub.co.uk,North Ayrshire,Irvine,18,2334,
Thornhill Golf Club,https://www.thornhillgolfclub.co.uk/,Dumfries & Galloway,Thornhill,18,2649,
Thornton Golf Club,https://thorntongolf.com/,Fife,Kirkcaldy,18,2650,
Thurso Golf Club,https://www.thursogolfclub.com/,Highland,Thurso,18,2651,
Tillicoultry Golf Club,http://www.tillicoultrygolfclub.com,Clackmannanshire,Tillicoultry,18,2652,
Tobermory Golf Club,https://tobermorygolfclub.com/,Argyll & Bute,Isle of Mull,18,2653,
Torphins Golf Club,https://www.torphinsgolfclub.co.uk/,Aberdeenshire,AB31 4JU,18,2654,
Torrance House Golf Club,https://torrancehousegc.co.uk/,South Lanarkshire,Glasgow,18,2655,
Torrance Park Golf Club,https://www.torranceparkgolf.co.uk/,North Lanarkshire,Motherwell,18,2656,
Torwoodlee Golf Club,https://www.torwoodleegolfclub.co.uk/,Scottish Borders,Galashiels,18,2657,
Traigh Golf Club,https://www.traighgolf.co.uk/,Highland,Arisaig,18,2658,
Troon St Meddans Golf Club,https://troonstmeddansgolfclub.com/,South Ayrshire,Troon,18,2663,
Troon Welbeck Golf Club,http://www.troonwelbeckgolfclub.com/,South Ayrshire,Troon,18,2664,
Trump International Golf Links,https://www.trumpgolfscotland.com/,Aberdeenshire,Aberdeen,18,2665,
Tulliallan Golf Club,http://www.tulliallangolf.co.uk/,Fife,Alloa,18,2666,
Turnberry Golf Club,https://www.turnberrygolfclub.net/,South Ayrshire,Turnberry,18,2667,
Turnhouse Golf Club Ltd,https://www.turnhousegolfclub.com/,Edinburgh,Edinburgh,18,2669,
Turriff Golf Club,https://www.turriffgolfclub.com/,Aberdeenshire,Turriff,18,2670,
Ullapool Golf Club,http://ullapoolgolfclub.co.uk/,Highland,Ullapool,18,2671,
University of St Andrews Golf Club,https://golf.wp.st-andrews.ac.uk/,Fife,St Andrews,18,2672,
Uphall Golf Club,https://www.uphallgolfclub.com/,West Lothian,Broxburn,18,2673,
Vale of Leven Golf Club,https://volgc.org/,West Dunbartonshire,Alexandria,18,2674,
Vaul Golf Club,https://vaulgolfclub.co.uk/,Argyll & Bute,Isle of Tiree,9,2675,
West Kilbride Golf Club,https://www.westkilbridegolfclub.com/,North Ayrshire,West Kilbride,18,2680,
West Linton Golf Club,https://www.wlgc.co.uk/,Scottish Borders,West Linton,18,2682,
West Lothian Golf Club,https://www.westlothiangc.com/,West Lothian,Linlithgow,18,2683,
Western Gailes Golf Club,https://www.westerngailes.com/,North Ayrshire,Irvine,18,2685,
Westerwood Golf Club,https://www.thewesterwoodhotel.co.uk/golf/,North Lanarkshire,Glasgow,18,2686,
Westhill Golf Club,https://westhillgolf.co.uk/,Aberdeenshire,Westhill,18,2687,
Westray Golf Club,https://westraygolf.org/,Orkney,Orkney,18,2688,
Whalsay Golf Club,http://www.whalsaygolfclub.co.uk/,Shetland,Shetland,18,2690,
Whitecraigs Golf Club,https://whitecraigs.intelligentgolf.co.uk/,East Renfrewshire,Glasgow,18,2691,
Whitehill House Golf Club,https://www.whitehillhousegolf.co.uk/,Midlothian,EH24 9EG,18,2692,
Whiting Bay Golf Club,https://www.whitingbaygolf.com/,North Ayrshire,Isle of Arran,18,2694,
Wick Golf Club,https://www.wickgolfclub.org.uk/,Highland,Wick,18,2695,yes
Wigtown & Bladnoch Golf Club,https://wandbgc.co.uk/,Dumfries & Galloway,Newton Stewart,18,2696,
Wigtownshire County Golf Club,https://wigtownshirecountygolfclub.com/,Dumfries & Galloway,Newton Stewart,18,2697,
Williamwood Golf Club,https://www.williamwoodgc.co.uk/,East Renfrewshire,Glasgow,18,2698,
Windyhill Golf Club,https://windyhillgolfclub.co.uk/,East Dunbartonshire,G61 4QQ,18,2699,
Winterfield Golf Club,https://winterfieldgc.com/,East Lothian,Dunbar,18,2700,
Wishaw Golf Club,https://www.wishawgolfclub.com/,North Lanarkshire,Wishaw,18,2701,
Woll Golf Club,https://www.wollgolf.co.uk/,Scottish Borders,Ashkirk,18,2702,
Woodlands Glencoe Golf Club,https://www.woodlands.scot/golf-course/dragons-tooth-golf-club/,Highland,Ballachulish,9,2187,
